nomProduit,descriptionProduit,prix,nomMarchand,PuericultureEnfants,EquipementsMaisonHighTech,SportsLoisirsCulture,BricolageDecorationJardinerieAnimalerie,ModeAccessoires,AutoMoto,BeauteSanteBienEtre,HotelRestaurantCafes,BanquesAssurances,VoyagesTransports,Services,Bebe,Boissons,Boucherie,Boulangerie,CharcuterieTraiteur,Cremerie,EpicerieSalee,EpicerieSucree,FruitsFrais,LegumesFrais,ProduitsMer,ProduitsDietetiques,Surgeles
Support Voiture Universel Kenu Airframe pour Smartphones,,24.99,Fnac,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voiture U-Command Flash Flash Mc Queen Cars,Age minimum 3 ans,87.85,Fnac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bateau avec seau, pelle et râteau",Le lot,8.99,MONOP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bateau Ocean Dream,L'unité,6.99,MONOP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boisson gazeuse aux extraits végétaux,La bouteille de 1l,1.39,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brioche des Rois aux fruits confits,La pièce de 350g,7.11,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dessert lacté à la banane, dès 6 mois",Les 4 pots de 100g,1.99,MONOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"Dessert lacté à la poire, dès 6 mois",Les 4 pots de 100g,1.9,MONOP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"Emincés de saumon fumé au bois de hêtre, issu de l'agriculture biologique",Les 6/9 tranches de 100g,5.61,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Gilet de natation Pool School Intex,"Dimensions Dimensions du produit emballé : 19,05 x 12,7 x 3,81 cm",2.99,Fnac,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glace,Le pot de 500ml,5.95,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Jeu de l'élastique,L'unité,2.99,MONOP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mini bagels aux graines de sésame, pains pour sandwiches originaux",le paquet de 9 360g,3.08,MONOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Moules en forme de glaces,Le set,3.99,MONOP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
